prompt,langage,context
"Écris une fonction Python pour calculer la suite de Fibonacci jusqu'au n-ième nombre.",python,"def fibonacci; for i in"
"Implémente une fonction Python pour trier une liste d'entiers en utilisant l'algorithme de tri à bulles.",python,"def bubble_sort; for i in range(len(list))"
"Écris une fonction Python pour vérifier si une chaîne de caractères est un palindrome.",python,"def is_palindrome; string == string[::-1]"
"Implémente une fonction Python pour trouver le plus petit nombre dans une liste.",python,"def find_min; min(list)"
"Écris un script Python pour lire un fichier CSV, effectuer des calculs sur les données et écrire les résultats dans un nouveau fichier CSV.",python,"with open; dataframe"
"Conçois une hiérarchie de classes en Python pour représenter différentes formes géométriques (cercle, rectangle, triangle) avec une méthode pour calculer l'aire.",python,"class Shape; Circle; Rectangle; Triangle"
"Crée un ensemble de tests unitaires en Python pour une fonction de validation d'adresse e-mail en utilisant le module unittest.",python,"import unittest; email_validator"
"Écris une fonction Python qui lève une exception personnalisée et montre comment la gérer avec un bloc try-except.",python,"class CustomError(Exception); raise CustomError('Custom error message')"
"Écris une fonction Python pour extraire toutes les valeurs associées à une clé spécifique dans un fichier JSON profondément imbriqué.",python,"import json"
"Écris une fonction Python qui convertit une liste d'objets imbriqués en un DataFrame plat, où chaque niveau d'imbrication devient une colonne distincte.",python,"import pandas as pd"
"Crée une fonction Python qui génère une liste de nombres aléatoires de taille spécifiée, avec une distribution uniforme entre deux valeurs min et max.",python,"import random"
"Écris une fonction Python qui calcule le nombre de jours entre deux dates, en prenant en compte les années bissextiles.",python,"from datetime import datetime"
"Crée un script Python qui utilise la bibliothèque requests pour récupérer et afficher le contenu d'une page web.",python,"import requests"
"Écris une fonction Python qui trie une liste de dictionnaires par une clé spécifique, en respectant l'ordre alphabétique pour les valeurs de cette clé.",python,"def sort_dict_list(dict_list, key):"
"Crée un script Python qui utilise la bibliothèque matplotlib pour créer un graphique de dispersion entre deux variables.",python,"import matplotlib.pyplot as plt"
"Écris une fonction Python qui calcule la moyenne d'une liste de nombres, en utilisant la fonction sum() et la longueur de la liste.",python,"def calculate_mean(numbers):"
"Crée un script Python qui utilise la bibliothèque pandas pour lire un fichier CSV et afficher les 10 premières lignes.",python,"import pandas as pd"
